screen_num,stage,screen_type,level,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1-1,Barrel,1,8800,8800,false,,4,10904,
2,1-2,Pie,1,7000,15800,false,,4,16119,
3,1-3,Spring,1,4900,20700,false,,4,17778,
4,1-4,Rivet,1,5800,26500,false,,4,22445,
5,2-1,Barrel,2,11800,38300,false,,4,34295,
6,2-2,Pie,2,7200,45500,false,,4,40892,
7,2-3,Spring,2,5700,51200,false,,4,42593,
8,2-4,Rivet,2,7300,58500,false,,4,47659,
9,3-1,Barrel,3,15900,74400,false,,4,62381,
10,3-2,Pie,3,6700,81100,false,,4,65085,
11,3-3,Spring,3,6700,87800,false,,4,66816,
12,3-4,Rivet,3,7800,95600,false,,4,71196,
13,4-1,Barrel,4,17400,113000,false,,4,86923,
14,4-2,Pie,4,7400,120400,false,,4,89274,
15,4-3,Spring,4,6600,127000,false,,4,91343,
16,4-4,Rivet,4,6500,133500,false,,4,97223,
17,5-1,Barrel,5,15100,148600,false,,4,111589,
18,5-2,Pie,5,7600,156200,false,,4,113873,
19,5-3,Spring,5,7000,163200,false,,4,115633,
20,5-4,Rivet,5,7500,170700,false,,4,120969,
21,6-1,Barrel,6,14900,185600,false,,4,136637,
22,6-2,Pie,6,8100,193700,false,,4,138852,
23,6-3,Spring,6,7200,200900,false,,4,140612,
24,6-4,Rivet,6,6100,207000,false,,4,146768,
25,7-1,Barrel,7,20000,227000,false,,4,164100,
26,7-2,Pie,7,6900,233900,false,,4,166733,
27,7-3,Spring,7,7100,241000,false,,4,168495,
28,7-4,Rivet,7,9400,250400,false,,4,173205,
29,8-1,Barrel,8,17100,267500,false,,4,188948,
30,8-2,Pie,8,6700,274200,false,,4,191644,
31,8-3,Spring,8,6100,280300,false,,4,194343,
32,8-4,Rivet,8,8900,289200,false,,4,198876,
33,9-1,Barrel,9,13900,303100,false,,4,212933,
34,9-2,Pie,9,8900,312000,false,,4,214329,
35,9-3,Spring,9,7100,319100,false,,4,216090,
36,9-4,Rivet,9,8700,327800,false,,4,221789,
37,10-1,Barrel,10,16900,344700,false,,4,237592,
38,10-2,Pie,10,6900,351600,false,,4,240316,
39,10-3,Spring,10,6500,358100,false,,4,242394,
40,10-4,Rivet,10,5700,363800,false,,4,247518,
41,11-1,Barrel,11,15500,379300,false,,4,263620,
42,11-2,Pie,11,8600,387900,false,,4,265523,
43,11-3,Spring,11,6800,394700,false,,4,268381,
44,11-4,Rivet,11,8700,403400,false,,4,271783,
45,12-1,Barrel,12,15800,419200,false,,4,287263,
46,12-2,Pie,12,6600,425800,false,,4,290044,
47,12-3,Spring,12,6900,432700,false,,4,291810,
48,12-4,Rivet,12,6200,438900,false,,4,297818,
49,13-1,Barrel,13,14800,453700,false,,4,314027,
50,13-2,Pie,13,6100,459800,false,,4,317323,
51,13-3,Spring,13,7000,466800,false,,4,319089,
52,13-4,Rivet,13,7000,473800,false,,4,323628,
53,14-1,Barrel,14,12300,486100,false,,4,337462,
54,14-2,Pie,14,7100,493200,false,,4,339432,
55,14-3,Spring,14,7000,500200,false,,4,341355,
56,14-4,Rivet,14,3100,503300,false,,4,346834,
57,15-1,Barrel,15,16500,519800,false,,4,362496,
58,15-2,Pie,15,8400,528200,false,,4,364237,
59,15-3,Spring,15,6900,535100,false,,4,366155,
60,15-4,Rivet,15,9000,544100,false,,4,370343,
61,16-1,Barrel,16,14300,558400,false,,4,386008,
62,16-2,Pie,16,5900,564300,false,,4,389220,
63,16-3,Spring,16,7100,571400,false,,4,390988,
64,16-4,Rivet,16,7800,579200,false,,4,395307,
65,17-1,Barrel,17,18300,597500,false,,4,412614,
66,17-2,Pie,17,6600,604100,false,,4,415449,
67,17-3,Spring,17,7000,611100,false,,4,417205,
68,17-4,Rivet,17,9200,620300,false,,4,422812,
69,18-1,Barrel,18,15800,636100,false,,4,438921,
70,18-2,Pie,18,6600,642700,false,,4,441690,
71,18-3,Spring,18,6700,649400,false,,4,444080,
72,18-4,Rivet,18,6500,655900,false,,4,448428,
73,19-1,Barrel,19,15300,671200,false,,4,463806,
74,19-2,Pie,19,8300,679500,false,,4,465647,
75,19-3,Spring,19,6600,686100,false,,4,467551,
76,19-4,Rivet,19,8200,694300,false,,4,472136,
77,20-1,Barrel,20,14900,709200,false,,4,487702,
78,20-2,Pie,20,9000,718200,false,,4,489084,
79,20-3,Spring,20,7000,725200,false,,4,490846,
80,20-4,Rivet,20,6400,731600,false,,4,495487,
81,21-1,Barrel,21,15200,746800,true,1,4,511323,0
81,21-1,Barrel,21,17500,764300,true,2,3,527967,0
81,21-1,Barrel,21,15000,779300,true,3,2,543642,0
81,21-1,Barrel,21,13400,792700,false,,1,557902,
82,21-2,Pie,21,7700,800400,false,,1,560065,
83,21-3,Spring,21,6200,806600,false,,1,562291,
84,21-4,Rivet,21,9200,815800,false,,1,566138,
85,22-1,Barrel,22,3800,819600,false,,1,567024,
86,22-2,Pie,22,6100,825700,false,,1,568490,
87,22-3,Spring,22,4500,830200,false,,1,570045,
88,22-4,Rivet,22,3000,833200,true,4,1,571675,25500
