screen_num,stage,screen_type,level,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1-1,Barrel,1,8300,8300,false,,4,10664,
2,1-2,Pie,1,5000,13300,false,,4,11981,
3,1-3,Spring,1,4600,17900,false,,4,13766,
4,1-4,Rivet,1,5900,23800,false,,4,18118,
5,2-1,Barrel,2,9300,33100,false,,4,27101,
6,2-2,Pie,2,6200,39300,false,,4,28492,
7,2-3,Spring,2,5500,44800,false,,4,30197,
8,2-4,Rivet,2,6700,51500,false,,4,35138,
9,3-1,Barrel,3,11200,62700,false,,4,45615,
10,3-2,Pie,3,7800,70500,false,,4,47373,
11,3-3,Spring,3,6100,76600,false,,4,50620,
12,3-4,Rivet,3,7700,84300,false,,4,55264,
13,4-1,Barrel,4,8200,92500,false,,4,59664,
14,4-2,Pie,4,8300,100800,false,,4,61072,
15,4-3,Spring,4,6500,107300,false,,4,62983,
16,4-4,Rivet,4,7500,114800,false,,4,67134,
17,5-1,Barrel,5,8900,123700,false,,4,72932,
18,5-2,Pie,5,8100,131800,false,,4,74377,
19,5-3,Spring,5,6300,138100,false,,4,76453,
20,5-4,Rivet,5,7200,145300,false,,4,81432,
21,6-1,Barrel,6,8300,153600,false,,4,85216,
22,6-2,Pie,6,6600,160200,false,,4,87590,
23,6-3,Spring,6,6600,166800,false,,4,89505,
24,6-4,Rivet,6,6400,173200,false,,4,94350,
25,7-1,Barrel,7,9900,183100,false,,4,100382,
26,7-2,Pie,7,8200,191300,false,,4,101767,
27,7-3,Spring,7,6500,197800,false,,4,103681,
28,7-4,Rivet,7,7300,205100,false,,4,108008,
29,8-1,Barrel,8,9100,214200,false,,4,112547,
30,8-2,Pie,8,6800,221000,false,,4,115302,
31,8-3,Spring,8,6600,227600,false,,4,117220,
32,8-4,Rivet,8,5600,233200,false,,4,123179,
33,9-1,Barrel,9,8300,241500,false,,4,127537,
34,9-2,Pie,9,8200,249700,false,,4,128871,
35,9-3,Spring,9,6400,256100,false,,4,131885,
36,9-4,Rivet,9,8400,264500,false,,4,136536,
37,10-1,Barrel,10,8600,273100,false,,4,140513,
38,10-2,Pie,10,6100,279200,false,,4,143562,
39,10-3,Spring,10,7200,286400,false,,4,146113,
40,10-4,Rivet,10,3500,289900,false,,4,152100,
41,11-1,Barrel,11,8300,298200,false,,4,156259,
42,11-2,Pie,11,8200,306400,false,,4,157647,
43,11-3,Spring,11,6500,312900,false,,4,159565,
44,11-4,Rivet,11,3200,316100,true,1,4,162437,4500
44,11-4,Rivet,11,5200,321300,false,,3,167990,
45,12-1,Barrel,12,9000,330300,false,,3,178366,
46,12-2,Pie,12,7500,337800,false,,3,180148,
47,12-3,Spring,12,7100,344900,false,,3,182698,
48,12-4,Rivet,12,5600,350500,false,,3,188299,
49,13-1,Barrel,13,8300,358800,false,,3,192026,
50,13-2,Pie,13,7500,366300,false,,3,193807,
51,13-3,Spring,13,6300,372600,false,,3,195880,
52,13-4,Rivet,13,7000,379600,false,,3,200734,
53,14-1,Barrel,14,8300,387900,false,,3,206015,
54,14-2,Pie,14,8900,396800,false,,3,207470,
55,14-3,Spring,14,6500,403300,false,,3,209855,
56,14-4,Rivet,14,7700,411000,false,,3,214069,
57,15-1,Barrel,15,500,411500,true,2,3,215413,7300
57,15-1,Barrel,15,8600,420100,false,,2,222305,
58,15-2,Pie,15,7400,427500,false,,2,224649,
59,15-3,Spring,15,6600,434100,false,,2,226565,
60,15-4,Rivet,15,8600,442700,false,,2,230409,
61,16-1,Barrel,16,8100,450800,false,,2,235440,
62,16-2,Pie,16,8200,459000,false,,2,236756,
63,16-3,Spring,16,6600,465600,false,,2,238674,
64,16-4,Rivet,16,8800,474400,false,,2,243427,
65,17-1,Barrel,17,8200,482600,false,,2,247563,
66,17-2,Pie,17,6000,488600,false,,2,250825,
67,17-3,Spring,17,6600,495200,false,,2,252750,
68,17-4,Rivet,17,9800,505000,false,,2,257125,
69,18-1,Barrel,18,9500,514500,false,,2,266705,
70,18-2,Pie,18,6000,520500,false,,2,269962,
71,18-3,Spring,18,6500,527000,false,,2,271877,
72,18-4,Rivet,18,7700,534700,false,,2,275982,
73,19-1,Barrel,19,8300,543000,false,,2,280179,
74,19-2,Pie,19,8300,551300,false,,2,281471,
75,19-3,Spring,19,6500,557800,false,,2,283394,
76,19-4,Rivet,19,7700,565500,false,,2,287862,
77,20-1,Barrel,20,2200,567700,true,3,2,291168,6300
77,20-1,Barrel,20,10700,578400,false,,1,298734,
78,20-2,Pie,20,7600,586000,false,,1,300436,
79,20-3,Spring,20,6800,592800,false,,1,302670,
80,20-4,Rivet,20,5900,598700,false,,1,308233,
81,21-1,Barrel,21,8900,607600,false,,1,315243,
82,21-2,Pie,21,6800,614400,false,,1,317387,
83,21-3,Spring,21,6300,620700,false,,1,319456,
84,21-4,Rivet,21,4100,624800,false,,1,325365,
85,22-1,Barrel,22,400,625200,true,4,1,326444,0
