screen_num,stage,screen_type,level,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1-1,Barrel,1,4300,4300,false,,3,2762,
2,1-2,Rivet,1,5200,9500,false,,4,5485,
3,2-1,Barrel,2,5200,14700,false,,4,7272,
4,2-2,Spring,2,5100,19800,false,,4,8761,
5,2-3,Rivet,2,6000,25800,false,,4,11346,
6,3-1,Barrel,3,6400,32200,false,,4,13182,
7,3-2,Pie,3,6900,39100,false,,4,14594,
8,3-3,Spring,3,6100,45200,false,,4,15854,
9,3-4,Rivet,3,6300,51500,false,,4,19696,
10,4-1,Barrel,4,7200,58700,false,,4,21537,
11,4-2,Pie,4,7500,66200,false,,4,22949,
12,4-3,Barrel,4,7200,73400,false,,4,24784,
13,4-4,Spring,4,6800,80200,false,,4,26062,
14,4-5,Rivet,4,4600,84800,false,,4,30614,
15,5-1,Barrel,5,7100,91900,false,,4,32631,
16,5-2,Pie,5,7600,99500,false,,4,34037,
17,5-3,Barrel,5,7200,106700,false,,4,35903,
18,5-4,Spring,5,6700,113400,false,,4,37237,
19,5-5,Barrel,5,7300,120700,false,,4,39136,
20,5-6,Rivet,5,7400,128100,false,,4,42904,
21,6-1,Barrel,6,7400,135500,false,,4,44918,
22,6-2,Pie,6,7600,143100,false,,4,46330,
23,6-3,Barrel,6,7200,150300,false,,4,48135,
24,6-4,Spring,6,6500,156800,false,,4,49596,
25,6-5,Barrel,6,7100,163900,false,,4,51681,
26,6-6,Rivet,6,7700,171600,false,,4,55561,
27,7-1,Barrel,7,7200,178800,false,,4,57752,
28,7-2,Pie,7,7500,186300,false,,4,59167,
29,7-3,Barrel,7,7300,193600,false,,4,60963,
30,7-4,Spring,7,6800,200400,false,,4,62240,
31,7-5,Barrel,7,7400,207800,false,,4,64209,
32,7-6,Rivet,7,6000,213800,false,,4,68018,
33,8-1,Barrel,8,7300,221100,false,,4,70163,
34,8-2,Pie,8,800,221900,true,1,4,71116,7300
34,8-2,Pie,8,7500,229400,false,,3,72527,
35,8-3,Barrel,8,7400,236800,false,,3,74278,
36,8-4,Spring,8,6600,243400,false,,3,75675,
37,8-5,Barrel,8,7500,250900,false,,3,77694,
38,8-6,Rivet,8,6200,257100,false,,3,80778,
39,9-1,Barrel,9,7200,264300,false,,3,82784,
40,9-2,Pie,9,7400,271700,false,,3,84196,
41,9-3,Barrel,9,7400,279100,false,,3,86117,
42,9-4,Spring,9,6600,285700,false,,3,87512,
43,9-5,Barrel,9,7500,293200,false,,3,89432,
44,9-6,Rivet,9,7100,300300,false,,3,92886,
45,10-1,Barrel,10,7200,307500,false,,3,94736,
46,10-2,Pie,10,7600,315100,false,,3,96151,
47,10-3,Barrel,10,7000,322100,false,,3,97957,
48,10-4,Spring,10,6200,328300,false,,3,99594,
49,10-5,Barrel,10,7400,335700,false,,3,101338,
50,10-6,Rivet,10,5700,341400,false,,3,105873,
51,11-1,Barrel,11,7100,348500,false,,3,107819,
52,11-2,Pie,11,7700,356200,false,,3,109228,
53,11-3,Barrel,11,7500,363700,false,,3,111237,
54,11-4,Spring,11,6200,369900,false,,3,112879,
55,11-5,Barrel,11,7100,377000,false,,3,114702,
56,11-6,Rivet,11,8000,385000,false,,3,118338,
57,12-1,Barrel,12,6900,391900,false,,3,120466,
58,12-2,Pie,12,7500,399400,false,,3,121881,
59,12-3,Barrel,12,7400,406800,false,,3,123825,
60,12-4,Spring,12,6500,413300,false,,3,125283,
61,12-5,Barrel,12,7300,420600,false,,3,127183,
62,12-6,Rivet,12,4900,425500,false,,3,132529,
63,13-1,Barrel,13,7200,432700,false,,3,134689,
64,13-2,Pie,13,7600,440300,false,,3,136104,
65,13-3,Barrel,13,7100,447400,false,,3,138061,
66,13-4,Spring,13,6800,454200,false,,3,139342,
67,13-5,Barrel,13,7400,461600,false,,3,141260,
68,13-6,Rivet,13,6600,468200,false,,3,144751,
69,14-1,Barrel,14,7600,475800,false,,3,146986,
70,14-2,Pie,14,7500,483300,false,,3,148913,
71,14-3,Barrel,14,7100,490400,false,,3,150693,
72,14-4,Spring,14,5900,496300,false,,3,152510,
73,14-5,Barrel,14,7300,503600,false,,3,154441,
74,14-6,Rivet,14,5900,509500,false,,3,158295,
75,15-1,Barrel,15,7100,516600,false,,3,160136,
76,15-2,Pie,15,7600,524200,false,,3,162030,
77,15-3,Barrel,15,7000,531200,false,,3,163833,
78,15-4,Spring,15,5900,537100,false,,3,165651,
79,15-5,Barrel,15,7400,544500,false,,3,167666,
80,15-6,Rivet,15,7700,552200,false,,3,171005,
81,16-1,Barrel,16,7300,559500,false,,3,173014,
82,16-2,Pie,16,6600,566100,false,,3,174935,
83,16-3,Barrel,16,7500,573600,false,,3,176733,
84,16-4,Spring,16,6700,580300,false,,3,178069,
85,16-5,Barrel,16,7400,587700,false,,3,179934,
86,16-6,Rivet,16,8100,595800,false,,3,183351,
87,17-1,Barrel,17,7300,603100,false,,3,185178,
88,17-2,Pie,17,6200,609300,false,,3,188062,
89,17-3,Barrel,17,7200,616500,false,,3,189943,
90,17-4,Spring,17,6200,622700,false,,3,191582,
91,17-5,Barrel,17,7600,630300,false,,3,193528,
92,17-6,Rivet,17,7800,638100,false,,3,197275,
93,18-1,Barrel,18,7400,645500,false,,3,199099,
94,18-2,Pie,18,7500,653000,false,,3,200511,
95,18-3,Barrel,18,7200,660200,false,,3,202338,
96,18-4,Spring,18,6500,666700,false,,3,203796,
97,18-5,Barrel,18,7300,674000,false,,3,205618,
98,18-6,Rivet,18,7200,681200,false,,3,208877,
99,19-1,Barrel,19,7300,688500,false,,3,210789,
100,19-2,Pie,19,800,689300,true,2,3,211768,7300
100,19-2,Pie,19,7500,696800,false,,2,213185,
101,19-3,Barrel,19,7300,704100,false,,2,215012,
102,19-4,Spring,19,6600,710700,false,,2,216407,
103,19-5,Barrel,19,7300,718000,false,,2,218518,
104,19-6,Rivet,19,5500,723500,false,,2,222157,
105,20-1,Barrel,20,7200,730700,false,,2,224223,
106,20-2,Pie,20,7500,738200,false,,2,225638,
107,20-3,Barrel,20,7200,745400,false,,2,227474,
108,20-4,Spring,20,6400,751800,false,,2,228988,
109,20-5,Barrel,20,7100,758900,false,,2,230950,
110,20-6,Rivet,20,7000,765900,false,,2,234625,
111,21-1,Barrel,21,7100,773000,false,,2,236794,
112,21-2,Pie,21,7700,780700,false,,2,238185,
113,21-3,Barrel,21,7300,788000,false,,2,240028,
114,21-4,Spring,21,6700,794700,false,,2,241365,
115,21-5,Barrel,21,7300,802000,false,,2,243301,
116,21-6,Rivet,21,6500,808500,false,,2,247588,
117,22-1,Barrel,22,300,808800,true,3,2,248600,0
117,22-1,Barrel,22,200,809000,true,4,1,249627,0
