screen_num,stage,screen_type,level,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1-1,Barrel,1,5800,5800,false,,3,3879,
2,1-2,Rivet,1,4900,10700,false,,4,7808,
3,2-1,Barrel,2,6500,17200,false,,4,10775,
4,2-2,Spring,2,5600,22800,false,,4,12260,
5,2-3,Rivet,2,10600,33400,false,,4,19801,
6,3-1,Barrel,3,8100,41500,false,,4,22816,
7,3-2,Pie,3,7100,48600,false,,4,25916,
8,3-3,Spring,3,5100,53700,false,,4,27957,
9,3-4,Rivet,3,6900,60600,false,,4,32720,
10,4-1,Barrel,4,8400,69000,false,,4,35351,
11,4-2,Pie,4,3400,72400,false,,4,40185,
12,4-3,Barrel,4,8700,81100,false,,4,43280,
13,4-4,Spring,4,5400,86500,false,,4,45394,
14,4-5,Rivet,4,3700,90200,true,1,4,49751,2000
14,4-5,Rivet,4,6300,96500,false,,3,55281,
15,5-1,Barrel,5,8300,104800,false,,3,58030,
16,5-2,Pie,5,7700,112500,false,,3,61397,
17,5-3,Barrel,5,8500,121000,false,,3,64289,
18,5-4,Spring,5,6200,127200,false,,3,65929,
19,5-5,Barrel,5,9200,136400,false,,3,68851,
20,5-6,Rivet,5,8500,144900,false,,3,75272,
21,6-1,Barrel,6,8600,153500,false,,3,78138,
22,6-2,Pie,6,8100,161600,false,,3,79545,
23,6-3,Barrel,6,9000,170600,false,,3,82660,
24,6-4,Spring,6,0,170600,true,2,3,84393,6000
24,6-4,Spring,6,0,170600,true,3,2,85177,7600
24,6-4,Spring,6,4600,175200,false,,1,87771,
25,6-5,Barrel,6,8300,183500,false,,1,90669,
26,6-6,Rivet,6,5100,188600,false,,1,95770,
27,7-1,Barrel,7,8600,197200,false,,1,98948,
28,7-2,Pie,7,7000,204200,false,,1,102607,
29,7-3,Barrel,7,8400,212600,false,,1,105297,
30,7-4,Spring,7,5600,218200,false,,1,107292,
31,7-5,Barrel,7,8900,227100,false,,1,110038,
32,7-6,Rivet,7,7900,235000,false,,1,116344,
33,8-1,Barrel,8,8700,243700,false,,1,119239,
34,8-2,Pie,8,8300,252000,false,,1,120654,
35,8-3,Barrel,8,8400,260400,false,,1,123488,
36,8-4,Spring,8,5700,266100,false,,1,125422,
37,8-5,Barrel,8,8300,274400,false,,1,128207,
38,8-6,Rivet,8,7500,281900,false,,1,132023,
39,9-1,Barrel,9,8700,290600,false,,1,134975,
40,9-2,Pie,9,8700,299300,false,,1,138265,
41,9-3,Barrel,9,8300,307600,false,,1,140856,
42,9-4,Spring,9,5100,312700,false,,1,143152,
43,9-5,Barrel,9,9000,321700,false,,1,145876,
44,9-6,Rivet,9,8700,330400,false,,1,151567,
45,10-1,Barrel,10,9200,339600,false,,1,154463,
46,10-2,Pie,10,6000,345600,false,,1,158790,
47,10-3,Barrel,10,8200,353800,false,,1,162064,
48,10-4,Spring,10,5700,359500,false,,1,164002,
49,10-5,Barrel,10,8600,368100,false,,1,166799,
50,10-6,Rivet,10,6200,374300,false,,1,171101,
51,11-1,Barrel,11,8700,383000,false,,1,174055,
52,11-2,Pie,11,6000,389000,false,,1,178837,
53,11-3,Barrel,11,8600,397600,false,,1,181905,
54,11-4,Spring,11,5900,403500,false,,1,183720,
55,11-5,Barrel,11,8300,411800,false,,1,186910,
56,11-6,Rivet,11,6300,418100,false,,1,191319,
57,12-1,Barrel,12,8200,426300,false,,1,194398,
58,12-2,Pie,12,8200,434500,false,,1,198174,
59,12-3,Barrel,12,8300,442800,false,,1,201195,
60,12-4,Spring,12,6200,449000,false,,1,202829,
61,12-5,Barrel,12,8800,457800,false,,1,205667,
62,12-6,Rivet,12,7900,465700,false,,1,209734,
63,13-1,Barrel,13,8400,474100,false,,1,212625,
64,13-2,Pie,13,4600,478700,false,,1,217037,
65,13-3,Barrel,13,7900,486600,false,,1,220339,
66,13-4,Spring,13,6200,492800,false,,1,221973,
67,13-5,Barrel,13,8700,501500,false,,1,224977,
68,13-6,Rivet,13,8300,509800,false,,1,231284,
69,14-1,Barrel,14,8500,518300,false,,1,234458,
70,14-2,Pie,14,8300,526600,false,,1,238848,
71,14-3,Barrel,14,8700,535300,false,,1,242328,
72,14-4,Spring,14,5700,541000,false,,1,244264,
73,14-5,Barrel,14,9200,550200,false,,1,247555,
74,14-6,Rivet,14,8300,558500,false,,1,253863,
75,15-1,Barrel,15,8800,567300,false,,1,256820,
76,15-2,Pie,15,900,568200,true,4,1,257811,7300
