screen_num,stage,screen_type,level,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1-1,Barrel,1,10400,10400,false,,4,8502,
2,1-2,Rivet,1,6900,17300,false,,4,15186,
3,2-1,Barrel,2,7400,24700,false,,4,18208,
4,2-2,Spring,2,7900,32600,false,,4,24902,
5,2-3,Rivet,2,9300,41900,false,,4,30152,
6,3-1,Barrel,3,8300,50200,false,,4,33180,
7,3-2,Pie,3,7500,57700,false,,4,34592,
8,3-3,Spring,3,6700,64400,false,,4,40637,
9,3-4,Rivet,3,7200,71600,false,,4,47749,
10,4-1,Barrel,4,10600,82200,false,,4,54871,
11,4-2,Pie,4,8200,90400,false,,4,56283,
12,4-3,Barrel,4,11200,101600,false,,4,62934,
13,4-4,Spring,4,7800,109400,false,,4,66309,
14,4-5,Rivet,4,9200,118600,false,,4,70480,
15,5-1,Barrel,5,11200,129800,false,,4,77649,
16,5-2,Pie,5,8200,138000,false,,4,79071,
17,5-3,Barrel,5,11700,149700,false,,4,85635,
18,5-4,Spring,5,7300,157000,false,,4,88469,
19,5-5,Barrel,5,12100,169100,false,,4,96672,
20,5-6,Rivet,5,5800,174900,false,,4,101512,
21,6-1,Barrel,6,12300,187200,false,,4,108802,
22,6-2,Pie,6,9000,196200,false,,4,111662,
23,6-3,Barrel,6,14200,210400,false,,4,119672,
24,6-4,Spring,6,7400,217800,false,,4,122085,
25,6-5,Barrel,6,14200,232000,false,,4,130808,
26,6-6,Rivet,6,7500,239500,false,,4,135347,
27,7-1,Barrel,7,13400,252900,false,,4,143080,
28,7-2,Pie,7,8500,261400,false,,4,144495,
29,7-3,Barrel,7,12000,273400,false,,4,151846,
30,7-4,Spring,7,7300,280700,false,,4,155043,
31,7-5,Barrel,7,12600,293300,false,,4,162393,
32,7-6,Rivet,7,9900,303200,false,,4,168748,
33,8-1,Barrel,8,11100,314300,false,,4,176852,
34,8-2,Pie,8,8300,322600,false,,4,178258,
35,8-3,Barrel,8,11800,334400,false,,4,186455,
36,8-4,Spring,8,7200,341600,false,,4,189950,
37,8-5,Barrel,8,12600,354200,false,,4,197539,
38,8-6,Rivet,8,9700,363900,false,,4,203917,
39,9-1,Barrel,9,13600,377500,false,,4,211295,
40,9-2,Pie,9,8600,386100,false,,4,213875,
41,9-3,Barrel,9,12500,398600,false,,4,222380,
42,9-4,Spring,9,7300,405900,false,,4,225088,
43,9-5,Barrel,9,12300,418200,false,,4,231641,
44,9-6,Rivet,9,8900,427100,false,,4,236578,
45,10-1,Barrel,10,11700,438800,false,,4,244215,
46,10-2,Pie,10,5700,444500,false,,4,248956,
47,10-3,Barrel,10,12300,456800,false,,4,255503,
48,10-4,Spring,10,7500,464300,false,,4,257916,
49,10-5,Barrel,10,11700,476000,false,,4,264003,
50,10-6,Rivet,10,9500,485500,false,,4,270428,
51,11-1,Barrel,11,14000,499500,false,,4,279372,
52,11-2,Pie,11,8100,507600,false,,4,280787,
53,11-3,Barrel,11,11400,519000,false,,4,286691,
54,11-4,Spring,11,6900,525900,false,,4,290001,
55,11-5,Barrel,11,12000,537900,false,,4,298555,
56,11-6,Rivet,11,4700,542600,false,,4,304734,
57,12-1,Barrel,12,11000,553600,false,,4,310713,
58,12-2,Pie,12,8500,562100,false,,4,313510,
59,12-3,Barrel,12,9600,571700,false,,4,320581,
60,12-4,Spring,12,7800,579500,false,,4,323056,
61,12-5,Barrel,12,12100,591600,false,,4,331038,
62,12-6,Rivet,12,7100,598700,false,,4,334903,
63,13-1,Barrel,13,13000,611700,false,,4,342508,
64,13-2,Pie,13,8300,620000,false,,4,343923,
65,13-3,Barrel,13,12500,632500,false,,4,351123,
66,13-4,Spring,13,7500,640000,false,,4,353774,
67,13-5,Barrel,13,11400,651400,false,,4,361620,
68,13-6,Rivet,13,8700,660100,false,,4,366655,
69,14-1,Barrel,14,11900,672000,false,,4,374814,
70,14-2,Pie,14,10500,682500,false,,4,377176,
71,14-3,Barrel,14,10900,693400,false,,4,383288,
72,14-4,Spring,14,6700,700100,false,,4,386421,
73,14-5,Barrel,14,12100,712200,false,,4,392426,
74,14-6,Rivet,14,6500,718700,false,,4,397108,
75,15-1,Barrel,15,11800,730500,false,,4,407106,
76,15-2,Pie,15,5200,735700,false,,4,410891,
77,15-3,Barrel,15,11500,747200,false,,4,419204,
78,15-4,Spring,15,7200,754400,false,,4,421860,
79,15-5,Barrel,15,12700,767100,false,,4,431820,
80,15-6,Rivet,15,9200,776300,false,,4,438198,
81,16-1,Barrel,16,13500,789800,false,,4,445629,
82,16-2,Pie,16,7200,797000,false,,4,449536,
83,16-3,Barrel,16,10500,807500,false,,4,454965,
84,16-4,Spring,16,7400,814900,false,,4,459359,
85,16-5,Barrel,16,10800,825700,false,,4,466364,
86,16-6,Rivet,16,6900,832600,false,,4,470504,
87,17-1,Barrel,17,11500,844100,false,,4,477414,
88,17-2,Pie,17,5500,849600,false,,4,481021,
89,17-3,Barrel,17,11200,860800,false,,4,487693,
90,17-4,Spring,17,7600,868400,false,,4,490290,
91,17-5,Barrel,17,13100,881500,false,,4,496975,
92,17-6,Rivet,17,6100,887600,false,,4,501297,
93,18-1,Barrel,18,11100,898700,false,,4,507590,
94,18-2,Pie,18,8300,907000,false,,4,508996,
95,18-3,Barrel,18,12000,919000,false,,4,517110,
96,18-4,Spring,18,6800,925800,false,,4,520126,
97,18-5,Barrel,18,13600,939400,false,,4,527425,
98,18-6,Rivet,18,8200,947600,false,,4,531145,
99,19-1,Barrel,19,11500,959100,false,,4,541061,
100,19-2,Pie,19,6100,965200,false,,4,545837,
101,19-3,Barrel,19,10200,975400,false,,4,552331,
102,19-4,Spring,19,7500,982900,false,,4,555463,
103,19-5,Barrel,19,11800,994700,false,,4,563921,
104,19-6,Rivet,19,7200,1001900,false,,4,568453,
105,20-1,Barrel,20,13100,1015000,false,,4,576837,
106,20-2,Pie,20,8300,1023300,false,,4,578246,
107,20-3,Barrel,20,12300,1035600,false,,4,586601,
108,20-4,Spring,20,7900,1043500,false,,4,589371,
109,20-5,Barrel,20,12200,1055700,false,,4,596921,
110,20-6,Rivet,20,3100,1058800,true,1,4,600702,2900
110,20-6,Rivet,20,2200,1061000,true,2,3,603254,4700
110,20-6,Rivet,20,10400,1071400,false,,2,609773,
111,21-1,Barrel,21,11800,1083200,false,,2,617173,
112,21-2,Pie,21,8400,1091600,false,,2,618585,
113,21-3,Barrel,21,12100,1103700,false,,2,625658,
114,21-4,Spring,21,7300,1111000,false,,2,628310,
115,21-5,Barrel,21,9400,1120400,true,3,2,635771,1900
115,21-5,Barrel,21,2900,1123300,true,4,1,639054,5700
