attempt_num,board_number,board_label,screen_type,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1,1,Blue,12200,12200,false,,3,1509,
2,2,2,Gold,12300,24500,false,,3,2678,
3,3,3,Blue,15500,40000,false,,4,3964,
4,4,4,Grey,17400,57400,false,,4,7089,
5,5,5,Gold,14300,71700,false,,5,9192,
6,6,6,Blue,17700,89400,false,,5,12590,
7,7,7,Grey,17700,107100,false,,6,16627,
8,8,8,Gold,14100,121200,false,,7,18974,
9,9,9,Blue,18400,139600,false,,7,22142,
10,10,10,Grey,17900,157500,false,,8,26727,
11,11,11,Gold,14300,171800,false,,8,28854,
12,12,12,Blue,21400,193200,false,,9,32427,
13,13,13,Grey,21600,214800,false,,10,36125,
14,14,14,Gold,14700,229500,false,,10,38494,
15,15,15,Blue,21200,250700,false,,11,42177,
16,16,16,Grey,19800,270500,false,,12,47250,
17,17,17,Gold,14700,285200,false,,12,49581,
18,18,18,Blue,22600,307800,false,,13,54359,
19,19,19,Grey,24700,332500,false,,14,58470,
20,20,20,Gold,15100,347600,false,,14,61261,
21,21,21,Blue,22200,369800,false,,15,66384,
22,22,22,Grey,25900,395700,false,,16,70060,
23,23,23,Gold,14300,410000,false,,16,73107,
24,24,24,Blue,25300,435300,false,,17,78269,
25,25,25,Grey,29500,464800,false,,18,81771,
26,26,26,Gold,14800,479600,false,,18,84522,
27,27,27,Blue,24300,503900,false,,19,90034,
28,28,28,Grey,27700,531600,false,,20,93789,
29,29,29,Gold,13700,545300,false,,21,96816,
30,30,30,Blue,24700,570000,false,,22,101327,
31,31,31,Grey,27100,597100,false,,22,105368,
32,32,32,Gold,13400,610500,false,,23,108389,
34,33,33,Blue,15600,626100,true,1,22,112273,1800
34,33,33,Blue,15200,641300,false,,23,113712,
35,34,34,Grey,27900,669200,false,,24,117386,
36,35,35,Gold,14000,683200,false,,24,120007,
37,36,36,Blue,15000,698200,false,,25,121076,
38,37,37,Grey,27700,725900,false,,26,124841,
39,38,38,Gold,13700,739600,false,,26,127438,
40,39,39,Blue,24000,763600,false,,27,132233,
41,40,40,Grey,26000,789600,false,,28,136762,
42,41,41,Gold,12900,802500,false,,28,140173,
