screen_num,stage,screen_type,level,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1-1,Jungle,1,10900,10900,false,,4,5196,
2,1-2,Chain,1,10200,21100,false,,4,9566,
3,2-1,Jungle,2,14600,35700,false,,4,19590,
4,2-2,Spring,2,8000,43700,false,,4,22693,
5,2-3,Chain,2,10400,54100,false,,4,27379,
6,3-1,Jungle,3,17200,71300,false,,4,40582,
7,3-2,Hideout,3,31300,102600,false,,4,53700,
8,3-3,Chain,3,11500,114100,false,,4,58947,
9,4-1,Jungle,4,21100,135200,false,,4,72086,
10,4-2,Spring,4,10300,145500,false,,4,75276,
11,4-3,Hideout,4,34800,180300,false,,4,89960,
12,4-4,Chain,4,9300,189600,false,,4,93357,
13,5-1,Jungle,5,21700,211300,false,,4,106006,
14,5-2,Spring,5,11900,223200,false,,4,109348,
15,5-3,Hideout,5,36900,260100,true,1,4,123853,0
15,5-3,Hideout,5,34800,294900,false,,3,138235,
16,5-4,Chain,5,9200,304100,false,,3,143487,
17,6-1,Jungle,6,17300,321400,false,,3,156317,
18,6-2,Spring,6,11800,333200,false,,3,159643,
19,6-3,Hideout,6,32900,366100,false,,3,174247,
20,6-4,Chain,6,7600,373700,false,,3,179461,
21,7-1,Jungle,7,18700,392400,false,,3,193509,
22,7-2,Spring,7,12000,404400,false,,3,196851,
23,7-3,Hideout,7,34800,439200,false,,3,211589,
24,7-4,Chain,7,7600,446800,false,,3,216021,
25,8-1,Jungle,8,19900,466700,false,,3,229327,
26,8-2,Spring,8,11900,478600,false,,3,232653,
27,8-3,Hideout,8,31300,509900,true,2,3,247107,0
27,8-3,Hideout,8,32900,542800,false,,2,261444,
28,8-4,Chain,8,9200,552000,false,,2,267938,
29,9-1,Jungle,9,14000,566000,false,,2,282042,
30,9-2,Spring,9,12000,578000,false,,2,285432,
31,9-3,Hideout,9,33400,611400,false,,2,300533,
32,9-4,Chain,9,10600,622000,false,,2,304943,
33,[10]-1,Jungle,10,20600,642600,false,,2,317959,
34,[10]-2,Spring,10,12000,654600,false,,2,321285,
35,[10]-3,Hideout,10,34300,688900,false,,2,336101,
36,[10]-4,Chain,10,9100,698000,false,,2,339625,
37,[11]-1,Jungle,11,19300,717300,false,,2,353143,
38,[11]-2,Spring,11,12000,729300,false,,2,356469,
39,[11]-3,Hideout,11,34500,763800,false,,2,371121,
40,[11]-4,Chain,11,11600,775400,false,,2,374958,
41,[12]-1,Jungle,12,18800,794200,false,,2,388231,
42,[12]-2,Spring,12,10300,804500,false,,2,392521,
43,[12]-3,Hideout,12,30300,834800,false,,2,407129,
44,[12]-4,Chain,12,8100,842900,false,,2,411206,
45,[13]-1,Jungle,13,21700,864600,false,,2,424499,
46,[13]-2,Spring,13,12200,876800,false,,2,427885,
47,[13]-3,Hideout,13,32200,909000,false,,2,442805,
48,[13]-4,Chain,13,10300,919300,false,,2,446394,
49,[14]-1,Jungle,14,14300,933600,true,3,2,458764,1000
49,[14]-1,Jungle,14,18500,952100,false,,1,471894,
50,[14]-2,Spring,14,12000,964100,false,,1,475216,
51,[14]-3,Hideout,14,36100,1000200,false,,1,489848,
52,[14]-4,Chain,14,9100,1009300,false,,1,493373,
53,[15]-1,Jungle,15,19800,1029100,false,,1,506486,
54,[15]-2,Spring,15,11900,1041000,false,,1,509812,
55,[15]-3,Hideout,15,33500,1074500,false,,1,524733,
56,[15]-4,Chain,15,10700,1085200,false,,1,528333,
57,[16]-1,Jungle,16,22000,1107200,false,,1,542075,
58,[16]-2,Spring,16,9600,1116800,false,,1,545645,
59,[16]-3,Hideout,16,31800,1148600,false,,1,560209,
60,[16]-4,Chain,16,8800,1157400,false,,1,564707,
61,A-1,Jungle,17,23300,1180700,false,,1,578251,
62,A-2,Spring,17,11900,1192600,false,,1,581581,
63,A-3,Hideout,17,29800,1222400,false,,1,596113,
64,A-4,Chain,17,8700,1231100,false,,1,599844,
65,B-1,Jungle,18,22500,1253600,false,,1,612863,
66,B-2,Spring,18,11900,1265500,false,,1,616189,
67,B-3,Hideout,18,34900,1300400,false,,1,630829,
68,B-4,Chain,18,6900,1307300,false,,1,635681,
69,C-1,Jungle,19,21400,1328700,false,,1,648279,
70,C-2,Spring,19,11900,1340600,false,,1,651609,
71,C-3,Hideout,19,33700,1374300,false,,1,666385,
72,C-4,Chain,19,10700,1385000,false,,1,670971,
73,D-1,Jungle,20,23900,1408900,false,,1,684991,
74,D-2,Spring,20,12000,1420900,false,,1,688321,
75,D-3,Hideout,20,32700,1453600,false,,1,702893,
76,D-4,Chain,20,7700,1461300,false,,1,707216,
77,E-1,Jungle,21,14000,1475300,false,,1,720811,
78,E-2,Spring,21,12200,1487500,false,,1,724197,
79,E-3,Hideout,21,33500,1521000,false,,1,738809,
80,E-4,Chain,21,9000,1530000,false,,1,742353,
81,F-1,Jungle,22,3100,1533100,true,4,1,743935,0
