screen_num,stage,screen_type,level,board_score,running_total,death,death_num,lives,frame,bonus_timer
1,1-1,Jungle,1,8900,8900,false,,3,4120,
2,1-2,Chain,1,8200,17100,false,,4,7403,
3,2-1,Jungle,2,11800,28900,false,,4,11766,
4,2-2,Spring,2,8000,36900,false,,4,14713,
5,2-3,Chain,2,9400,46300,false,,4,18662,
6,3-1,Jungle,3,16900,63200,false,,4,25958,
7,3-2,Hideout,3,23200,86400,false,,4,37854,
8,3-3,Chain,3,5500,91900,false,,4,42450,
9,4-1,Jungle,4,17200,109100,false,,4,52768,
10,4-2,Spring,4,6900,116000,false,,4,57454,
11,4-3,Hideout,4,27000,143000,false,,4,71122,
12,4-4,Chain,4,5700,148700,false,,4,75884,
13,5-1,Jungle,5,13600,162300,false,,4,84468,
14,5-2,Spring,5,5700,168000,false,,4,89826,
15,5-3,Hideout,5,25200,193200,false,,4,103714,
16,5-4,Chain,5,8700,201900,false,,4,107480,
17,6-1,Jungle,6,13400,215300,false,,4,117916,
18,6-2,Spring,6,8700,224000,false,,4,121278,
19,6-3,Hideout,6,30300,254300,false,,4,134958,
20,6-4,Chain,6,7200,261500,false,,4,139616,
21,7-1,Jungle,7,13400,274900,false,,4,149380,
22,7-2,Spring,7,4500,279400,true,1,4,153040,3000
22,7-2,Spring,7,9200,288600,false,,3,156729,
23,7-3,Hideout,7,29800,318400,false,,3,170573,
24,7-4,Chain,7,11500,329900,false,,3,174448,
25,8-1,Jungle,8,13300,343200,false,,3,185455,
26,8-2,Spring,8,5700,348900,false,,3,190561,
27,8-3,Hideout,8,26400,375300,false,,3,204153,
28,8-4,Chain,8,9500,384800,false,,3,207872,
29,9-1,Jungle,9,16200,401000,false,,3,214167,
30,9-2,Spring,9,5900,406900,false,,3,217981,
31,9-3,Hideout,9,15400,422300,true,2,3,224135,4900
31,9-3,Hideout,9,29000,451300,false,,2,238080,
32,9-4,Chain,9,6000,457300,false,,2,242632,
33,[10]-1,Jungle,10,3700,461000,true,3,2,245197,7000
33,[10]-1,Jungle,10,13200,474200,false,,1,252777,
34,[10]-2,Spring,10,5100,479300,false,,1,258491,
35,[10]-3,Hideout,10,26100,505400,true,4,1,271809,700
